upload_date,video_id,title,duration,url,status,episode_note,notes
2026-06-20,q_FIJmSB0Ro,5 Ways to Make Money From an AI the Government Fears,20:40,https://www.youtube.com/watch?v=q_FIJmSB0Ro,ingested,episodes/2026-06-20-5-ways-to-make-money-from-an-ai-the-government-fears.md,"AI-enabled services: legacy migration, bookkeeping cleanup, productized agency, personalized outreach, digital assets"
2026-06-18,5TZylaKGWUE,He Made $6K in 3 Hours Selling Lemonade,28:42,https://www.youtube.com/watch?v=5TZylaKGWUE,ingested,episodes/2026-06-18-he-made-6k-in-3-hours-selling-lemonade.md,"Lemonade concessions, catering, cart rentals, venue partnerships, frozen bananas"
2026-06-14,_1DziIwKyGk,The Most Profitable Side Hustle to Start With No Money,1:15:09,https://www.youtube.com/watch?v=_1DziIwKyGk,ingested,episodes/2026-06-14-the-most-profitable-side-hustle-to-start-with-no-money.md,Created episode note and raw-land-wholesaling topic page.
2026-06-11,LGkcTUfySDU,The Most Profitable Side Hustle No One Is Doing Yet,21:10,https://www.youtube.com/watch?v=LGkcTUfySDU,ingested,episodes/2026-06-11-the-most-profitable-side-hustle-no-one-is-doing-yet.md,Backyard movie theater/event rentals; indoor inflatable theater; LED dance floor upsell
2026-06-09,trdHxY1UMF0,The Laziest AI Side Hustle Anyone Can Start Right Now,14:54,https://www.youtube.com/watch?v=trdHxY1UMF0,ingested,episodes/2026-06-09-the-laziest-ai-side-hustle-anyone-can-start-right-now.md,AI voice cloning services; multilingual realtor voicemails; local business audio
2026-06-07,HcR7Wqgi4lU,He Made $60K His First Month With This Boring Business,56:09,https://www.youtube.com/watch?v=HcR7Wqgi4lU,ingested,episodes/2026-06-07-he-made-60k-his-first-month-with-this-boring-business.md,Concrete floor coatings; local home service business; Meta ads and referrals
2026-06-04,J7ZNaOeXCAA,An Average Guy Built This in One Weekend. Here's How,45:17,https://www.youtube.com/watch?v=J7ZNaOeXCAA,ingested,episodes/2026-06-04-an-average-guy-built-this-in-one-weekend-heres-how.md,PR-led AI consulting; vibe coding; local news and build-in-public distribution
2026-06-04,DKqQe0MqDTs,The Simplest AI Side Hustle for Beginners,33:02,https://www.youtube.com/watch?v=DKqQe0MqDTs,ingested,episodes/2026-06-04-the-simplest-ai-side-hustle-for-beginners.md,Home service AI lead capture; no-code tools; AI voice agents; cold SMS validation
2026-06-01,9DyLtQEDXN0,How a Regular Guy Started a 1-Person Business with AI,36:33,https://www.youtube.com/watch?v=9DyLtQEDXN0,ingested,episodes/2026-06-01-how-a-regular-guy-started-a-1-person-business-with-ai.md,One-person AI agency; warm-network sales; AI implementation workflows
2026-05-30,1PwTrINNzOA,I Told an AI Agent to Make Me Money. It Did.,41:26,https://www.youtube.com/watch?v=1PwTrINNzOA,ingested,episodes/2026-05-30-i-told-an-ai-agent-to-make-me-money-it-did.md,AI-agent-operated microbusinesses and agent-launched monetization experiments
2026-05-28,XQJWYvbAaOg,AI Agents Are Finally Easy to Set Up,9:33,https://www.youtube.com/watch?v=XQJWYvbAaOg,ingested,episodes/2026-05-28-ai-agents-are-finally-easy-to-set-up.md,Always-on AI agents; OpenClaw/hosted agent workflows
2026-05-28,vB08-7RzgOs,The Easiest Online Business to Start in 2026,20:10,https://www.youtube.com/watch?v=vB08-7RzgOs,ingested,episodes/2026-05-28-the-easiest-online-business-to-start-in-2026.md,White-label vertical SaaS; niche GoHighLevel/software bundles
2026-05-24,KjTHJ740fCY,The Best Side Hustle for Beginners (Any Age),57:00,https://www.youtube.com/watch?v=KjTHJ740fCY,ingested,episodes/2026-05-24-the-best-side-hustle-for-beginners-any-age.md,Resale/liquidation; used electronics; supplier relationships
2026-05-22,utOHNPN0IlQ,The Laziest AI Side Hustle Just Got Even Easier,16:21,https://www.youtube.com/watch?v=utOHNPN0IlQ,ingested,episodes/2026-05-22-the-laziest-ai-side-hustle-just-got-even-easier.md,AI faceless YouTube channels; Claude + Higgsfield/MCP video workflow
2026-05-19,50iWtrj9Mkw,Forget Big Apps. These Tiny Tools Are Making Millions,27:39,https://www.youtube.com/watch?v=50iWtrj9Mkw,ingested,episodes/2026-05-19-forget-big-apps-these-tiny-tools-are-making-millions.md,Tiny tools and micro apps; API wrappers and unbundling
2026-05-16,rvOnhGzx__Q,The Credit Card Side Hustle No One Talks About,38:38,https://www.youtube.com/watch?v=rvOnhGzx__Q,ingested,episodes/2026-05-16-the-credit-card-side-hustle-no-one-talks-about.md,Credit-card points consulting; LinkedIn acquisition; points optimization
2026-05-14,xrU6tVo-qME,How Anyone Can Make $10K+/Month From the Government,48:06,https://www.youtube.com/watch?v=xrU6tVo-qME,ingested,episodes/2026-05-14-how-anyone-can-make-10k-month-from-the-government.md,Government contract brokering; SAM.gov workflow; subcontractor fulfillment
2026-05-13,quYKZushRPo,The Beginner-Friendly Claude AI Side Hustle Nobody Talks About,31:20,https://www.youtube.com/watch?v=quYKZushRPo,ingested,episodes/2026-05-13-the-beginner-friendly-claude-ai-side-hustle-nobody-talks-about.md,Claude skills products; portable AI workflow assets; SEO/social skill stacks
2026-05-11,tVbN7XSPnM0,The Only Playbook You Need to Sell Anything Online,1:32:11,https://www.youtube.com/watch?v=tVbN7XSPnM0,ingested,episodes/2026-05-11-the-only-playbook-you-need-to-sell-anything-online.md,Content-to-lead funnels; comment automation; lead magnets; AI voice/app follow-up
2026-05-08,FE7PZG_V7qE,The Simplest Business in a Box Anyone Can Start,1:00:28,https://www.youtube.com/watch?v=FE7PZG_V7qE,ingested,episodes/2026-05-08-the-simplest-business-in-a-box-anyone-can-start.md,Nitro/iced coffee carts; simple concessions; event/location arbitrage
2026-05-06,xUZYy3hCRUM,The Most Passive $104K/M Online Business You've Never Heard Of,48:02,https://www.youtube.com/watch?v=xUZYy3hCRUM,ingested,episodes/2026-05-06-the-most-passive-104k-m-online-business-youve-never-heard-of.md,Rank-and-rent local SEO lead generation; CallRail; flat monthly pricing
2026-05-03,cFr-bNBsPb8,He Spends 1 Hour a Week on This Business,25:12,https://www.youtube.com/watch?v=cFr-bNBsPb8,ingested,episodes/2026-05-03-he-spends-1-hour-a-week-on-this-business.md,Indoor golf simulator memberships; self-serve access; local recurring revenue
